Salary,Status,Manager,Experience,CompanySize,Sector,Gender
145000,1,0,25,74,4,1
105000,1,1,6,500,4,1
98800,1,0,5,50,4,1
100800,1,0,14,5,4,1
160000,2,1,9,1000,4,0
105000,1,0,2,50,4,1
120000,2,0,6,4,4,1
120000,1,1,5,4,4,1
146000,1,1,10,2,4,1
185000,2,0,20,250,4,1
65000,1,0,7,25,4,1
74000,1,0,3,40,2,1
73000,1,0,5,1,4,1
146000,1,1,18,15,4,1
100000,1,0,2,3,4,1
120000,1,0,6,70,4,1
125000,2,1,2,15,4,0
52000,1,0,5,1,4,1
118000,1,1,20,5,4,1
100000,1,1,14,1000,4,1
100000,1,0,4,13,4,1
52000,1,0,5,4,4,1
52000,1,0,15,15,4,1
115000,1,0,2,20,4,1
75000,1,0,1,100,4,1
136500,1,0,23,80,4,1
177000,1,1,14,2,4,1
156000,3,0,15,4,4,1
120000,1,0,23,6,4,1
50000,1,0,5,22,3,1
127000,1,0,20,100,4,1
119000,1,0,15,20,3,1
138000,1,1,2,30,4,1
116000,1,0,20,25,4,0
105000,1,0,5,10,3,1
118000,1,1,9,400,4,1
75000,1,0,10,100,4,1
130000,1,1,2,40,4,1
99000,1,1,5,7,4,1
115000,1,0,20,300,3,1
80000,2,0,1,25,4,1
83000,1,0,1,2,4,1
110000,1,0,21,150,4,1
85000,1,0,2,220,4,1
110000,1,0,18,50,4,0
100000,1,1,1,10,4,1
145000,2,0,20,30,2,1
73000,1,1,2,4,1,1
130000,1,1,4,200,4,1
150000,1,0,13,50,4,1
103900,1,1,4,200,4,1
100000,1,0,17,6,4,1
110000,1,0,6,25,4,1
165000,1,0,6,15,4,1
103000,1,1,14,400,4,1
10200,1,0,15,20,1,1
162500,1,1,11,110,4,1
75736,1,0,3,200,4,0
81000,1,1,6,8,4,0
91000,1,1,12,110,4,1
158567,1,1,22,10,4,1
95000,1,0,3,5,1,0
130000,1,0,8,30,2,1
90000,1,1,1,25,4,1
110000,1,0,8,20,4,1
130000,1,1,3,1000,4,1
95000,1,0,7,20,4,1
120000,3,0,30,100,2,1
85000,1,0,7,12,2,1
140000,1,1,13,20,4,1
140000,3,0,20,8,4,1
135000,1,0,17,2000,4,1
120000,2,0,7,110,4,1
110000,1,1,8,75,3,1
117000,1,0,13,15,1,1
145000,2,0,7,5,4,1
145700,1,0,19,17,3,1
85000,1,0,8,6,1,1
115000,1,1,5,15,4,1
130000,1,1,6,10,4,1
150000,1,0,21,110,4,1
131229,1,0,10,5,4,1
100000,1,0,15,21,1,0
80000,1,0,12,3,1,1
140000,1,0,12,10,4,1
95000,1,0,10,30,3,1
180000,3,1,20,4,4,1
116000,1,0,5,39,4,1
105000,1,0,17,5,4,1
89000,2,0,15,10,4,0
100000,1,0,8,4,4,1
58000,1,0,1,9,4,1
115000,1,0,25,1000,4,1
110000,1,0,13,5,4,1
202000,1,0,1,4,4,1
113300,1,1,22,30,4,1
145000,2,0,3,325,4,1
127500,1,0,10,4,4,1
106000,1,0,6,10,4,1
76650,1,0,15,50,4,1
130000,1,0,2,300,4,1
96000,1,0,17,42,4,1
110000,1,1,6,50,4,1
90000,1,1,2,100,2,1
110000,1,0,8,15,4,1
137000,1,0,11,70,4,1
110000,1,0,24,2,4,1
118000,1,0,16,150,4,1
86000,1,0,12,16,1,1
90347,1,0,8,3,4,1
59000,1,0,2,8,4,1
160000,3,0,8,3,3,1
200000,1,1,10,100,4,1
102500,1,0,10,15,4,1
105000,1,0,20,50,4,1
119000,1,0,14,150,4,1
98259,1,0,32,10,2,1
90000,1,1,2,100,2,1
115000,1,0,6,65,2,1
118500,1,0,15,30,4,1
137700,1,0,30,250,4,1
78200,1,0,1,120,4,1
102000,1,0,6,100,4,1
172000,1,1,17,8,4,1
92000,1,0,25,20,4,0
90000,1,0,4,2,4,1
100000,1,0,27,16,2,1
63000,1,0,4,1,4,1
129000,1,1,3,250,4,1
108000,2,0,12,100,2,1
109000,1,0,15,5,4,1
94000,1,0,7,4,4,1
93000,1,0,7,30,4,1
112000,1,0,20,3,1,1
120000,1,0,25,12,4,1
106000,1,1,2,120,2,1
110000,1,0,25,8,4,1
121000,1,1,32,120,1,1
102000,1,0,32,9,2,1
75000,1,0,6,200,4,1
155000,1,1,15,120,4,1
135000,1,1,1,238,4,1
140000,1,0,25,2,4,1
115000,1,1,5,3,4,1
90000,1,0,1,7,4,1
105000,1,0,7,200,4,1
76500,1,0,5,10,4,1
145000,1,1,6,10,4,1
107000,1,0,13,3,4,1
70000,1,1,2,7,4,1
73800,1,0,2,1527,4,1
65000,1,0,4,10,4,0
97500,1,0,6,10,4,1
124000,1,0,7,10,4,1
93000,1,0,35,3,2,1
112000,1,1,25,4,4,1
150000,1,1,20,26,4,1
128000,1,0,25,70,4,0
150000,1,0,15,50,4,1
122000,1,0,11,6,2,1
245000,1,1,24,200,4,1
185000,1,1,4,20,4,1
143000,1,1,35,57,4,1
80000,1,0,4,200,4,1
92000,1,1,13,30,4,0
88000,1,0,20,35,3,1
90000,1,0,42,15,1,1
208000,3,0,28,5,4,1
72000,1,0,25,3,2,1
153000,1,1,21,8,4,1
82000,1,0,8,55,4,1
81000,1,0,5,5,3,1
88000,1,0,4,60,4,1
98000,2,1,20,20,4,1
110000,1,1,5,400,4,1
125000,1,0,10,5,4,1
117000,1,1,5,2,3,1
80000,1,0,1,2,2,1
115000,1,0,1,20,3,0
73000,1,0,2,2,4,0
92000,1,0,25,7,4,1
135000,1,1,3,60,4,0
151800,1,0,2,100000000,4,1
154000,1,0,27,20,4,1
85000,1,0,8,25,4,1
147000,2,0,20,45,3,1
99000,2,0,1,12,4,1
75000,1,0,8,10,4,0
69000,1,0,3,45,4,1
108000,1,0,25,46,1,1
82000,1,0,2,24,4,1
91000,1,0,5,10,3,1
96000,2,0,35,250,4,1
77000,1,0,12,4,4,1
158700,1,0,25,50,2,0
145000,1,0,15,5,4,1
200000,1,1,18,30,4,1
140000,1,0,10,50,4,1
123000,1,0,5,7,1,0
