id,price,lotsize,bedrooms,bathrooms,stories,driveway,recreation,fullbase,gasheat,aircon,garage,prefer
1,420,5850,3,1,2,yes,no,yes,no,no,1,no
2,385,4000,2,1,1,yes,no,no,no,no,0,no
3,495,3060,3,1,1,yes,no,no,no,no,0,no
4,605,6650,3,1,2,yes,yes,no,no,no,0,no
5,610,6360,2,1,1,yes,no,no,no,no,0,no
6,660,4160,3,1,1,yes,yes,yes,no,yes,0,no
7,660,3880,3,2,2,yes,no,yes,no,no,2,no
8,690,4160,3,1,3,yes,no,no,no,no,0,no
9,838,4800,3,1,1,yes,yes,yes,no,no,0,no
10,885,5500,3,2,4,yes,yes,no,no,yes,1,no
11,900,7200,3,2,1,yes,no,yes,no,yes,3,no
12,305,3000,2,1,1,no,no,no,no,no,0,no
13,270,1700,3,1,2,yes,no,no,no,no,0,no
14,360,2880,3,1,1,no,no,no,no,no,0,no
15,370,3600,2,1,1,yes,no,no,no,no,0,no
16,379,3185,2,1,1,yes,no,no,no,yes,0,no
17,405,3300,3,1,2,no,no,no,no,no,1,no
18,407.5,5200,4,1,3,yes,no,no,no,no,0,no
19,450,3450,1,1,1,yes,no,no,no,no,0,no
20,450,3986,2,2,1,no,yes,yes,no,no,1,no
21,485,4785,3,1,2,yes,yes,yes,no,yes,1,no
22,659,4510,4,2,2,yes,no,yes,no,no,0,no
23,379,4000,3,1,2,yes,no,no,no,yes,0,no
24,380,3934,2,1,1,yes,no,no,no,no,0,no
25,420,4960,2,1,1,yes,no,no,no,no,0,no
26,423,3000,2,1,2,yes,no,no,no,no,0,no
27,435,3800,2,1,1,yes,no,no,no,no,0,no
28,440,4960,2,1,1,yes,no,yes,no,yes,0,no
29,445,3000,3,1,1,no,no,no,no,yes,0,no
30,449,4500,3,1,2,yes,no,no,no,yes,0,no
31,450,3500,2,1,1,no,no,yes,no,no,0,no
32,480,3500,4,1,2,yes,no,no,no,yes,2,no
33,490,4000,2,1,1,yes,no,no,no,no,0,no
34,515,4500,2,1,1,yes,no,no,no,no,0,no
35,610,6360,2,1,2,yes,no,no,no,no,0,no
36,610,4500,2,1,1,yes,no,no,no,yes,2,no
37,617,4032,2,1,1,yes,no,yes,no,no,0,no
38,670,5170,3,1,4,yes,no,no,no,yes,0,no
39,820,5400,4,2,2,yes,no,no,no,yes,2,no
40,545,3150,2,2,1,no,no,yes,no,no,0,no
41,665,3745,3,1,2,yes,no,yes,no,no,0,no
42,700,4520,3,1,2,yes,no,yes,no,yes,0,no
43,820,4640,4,1,2,yes,no,no,no,no,1,no
44,920,8580,5,3,2,yes,no,no,no,no,2,no
45,380,2000,2,1,2,yes,no,no,no,no,0,no
46,440,2160,3,1,2,no,no,yes,no,no,0,no
47,410,3040,2,1,1,no,no,no,no,no,0,no
48,430,3090,3,1,2,no,no,no,no,no,0,no
49,480,4960,4,1,3,no,no,no,no,no,0,no
50,548,3350,3,1,2,yes,no,no,no,no,0,no
51,550,5300,5,2,2,yes,no,no,no,no,0,no
52,570,4100,4,1,1,no,no,yes,no,no,0,no
53,680,9166,2,1,1,yes,no,yes,no,yes,2,no
54,950,4040,3,1,2,yes,no,yes,yes,no,1,no
