id,handspan,gender
1,20,2
2,19.5,1
3,19,1
4,19.5,1
5,18.5,1
6,18.5,1
7,20,1
8,21.5,1
9,20.5,1
10,22.5,2
11,21,2
12,20,2
13,20,1
14,19,1
15,21.5,2
16,20,1
17,21,2
18,20,2
19,19.5,1
20,22,2
21,27,2
22,18.5,1
23,21.5,1
24,21,2
25,18,1
26,17,1
27,18,1
28,20.5,1
29,17.5,1
30,20,2
31,22,2
32,22,2
33,19.5,2
34,22,1
35,17,1
36,22.5,2
37,18,1
38,22,2
39,22,2
40,21.5,2
41,22.5,2
42,24.5,2
43,24,2
44,18.5,1
45,19,1
46,23,2
47,21,2
48,22.5,2
49,19,2
50,17,1
51,21,1
52,21,2
53,23,2
54,23,1
55,19.5,2
56,17,1
57,23,1
58,14,1
59,19.5,2
60,19.5,1
61,24.5,2
62,19.5,1
63,23,2
64,22,2
65,24,2
66,24,2
67,24,2
68,18.5,2
69,20,1
70,19.5,1
71,23,2
72,22,2
73,21.5,2
74,22,2
75,22.5,2
76,19,1
77,18,1
78,22.5,2
79,19,1
80,20,2
81,20.5,2
82,19.5,1
83,21,2
84,20,2
85,18,1
86,21,1
87,17.5,1
88,24.5,2
