EntryNum,VendorNum,Amount,AbsAmount,LogAbsAmt,LeadDigit
1,2001,36.08,36.08,1.557266529,3
2,2001,77.8,77.8,1.890979597,7
3,2001,34.97,34.97,1.543695632,3
4,2001,59,59,1.770852012,5
5,2001,59.56,59.56,1.774954689,5
6,2001,50.38,50.38,1.702258163,5
7,2001,26.57,26.57,1.424391554,2
8,2001,102.17,102.17,2.009323393,1
9,2001,25.19,25.19,1.401228167,2
10,2001,37.31,37.31,1.571825249,3
11,2001,74.17,74.17,1.870228279,7
12,2001,55.22,55.22,1.742096402,5
13,2001,40.55,40.55,1.607990859,4
14,2001,41.79,41.79,1.621072371,4
15,2001,55.29,55.29,1.74264659,5
16,2001,63.66,63.66,1.803866634,6
17,2001,71.41,71.41,1.853759033,7
18,2001,49,49,1.69019608,4
19,2001,94.29,94.29,1.974465636,9
20,2001,28.34,28.34,1.452399846,2
21,2001,28.09,28.09,1.448551739,2
22,2001,46.64,46.64,1.668758542,4
23,2001,49.91,49.91,1.69818757,4
24,2001,34.22,34.22,1.534280005,3
25,2001,32.12,32.12,1.506775537,3
26,2001,75.98,75.98,1.880699289,7
27,2001,68.41,68.41,1.83511959,6
28,2001,25.86,25.86,1.412628521,2
29,2001,90.17,90.17,1.95506207,9
30,2001,38.68,38.68,1.587486465,3
31,2001,42.56,42.56,1.629001619,4
32,2001,142.22,142.22,2.152960674,1
33,2001,27.83,27.83,1.444513206,2
34,2001,94.72,94.72,1.976441689,9
35,2001,430.15,430.15,2.633619927,4
36,2001,1966.98,1966.98,3.293799944,1
37,2001,8186.22,8186.22,3.913083412,8
38,2001,8378.22,8378.22,3.92315176,8
39,2001,18469.21,18469.21,4.266448319,1
40,2001,403.36,403.36,2.605692828,4
41,2001,12712.43,12712.43,4.104228575,1
42,2001,147.8,147.8,2.169674434,1
43,2001,7512.55,7512.55,3.875787375,7
44,2001,10239.22,10239.22,4.010266874,1
45,2001,10287.8,10287.8,4.012322513,1
46,2001,10969.46,10969.46,4.040185249,1
47,2001,7641.42,7641.42,3.883174071,7
48,2001,1917.15,1917.15,3.282656094,1
49,2001,2044.96,2044.96,3.310684818,2
50,2001,932.91,932.91,2.969839748,9
51,2001,145.58,145.58,2.163101715,1
52,2001,98.19,98.19,1.99206726,9
53,2001,7529.28,7529.28,3.876753448,7
54,2001,1166.29,1166.29,3.066806552,1
55,2001,41.42,41.42,1.617210095,4
56,2001,31.01,31.01,1.491501766,3
57,2001,62.15,62.15,1.793441133,6
58,2001,46.73,46.73,1.669595781,4
59,2001,32.23,32.23,1.508260306,3
60,2001,9919.25,9919.25,3.996478836,9
61,2001,10870.42,10870.42,4.036246324,1
62,2001,806.2,806.2,2.906442794,8
63,2001,767.75,767.75,2.885219825,7
64,2001,806.66,806.66,2.906690522,8
65,2001,1171.45,1171.45,3.068723757,1
66,2001,26.49,26.49,1.423081958,2
67,2001,32.71,32.71,1.514680544,3
68,2001,38,38,1.579783597,3
69,2001,180.52,180.52,2.256525325,1
70,2001,44.05,44.05,1.643945913,4
71,2001,75.7,75.7,1.87909588,7
72,2001,33.91,33.91,1.53032779,3
73,2001,50.42,50.42,1.702602841,5
74,2001,40.45,40.45,1.606918526,4
75,2001,81.07,81.07,1.908860173,8
76,2001,43.86,43.86,1.642068627,4
77,2001,51.33,51.33,1.710371264,5
78,2001,153,153,2.184691431,1
79,2001,69.59,69.59,1.842546836,6
80,2001,38.54,38.54,1.58591171,3
81,2001,73.9,73.9,1.868644438,7
82,2001,64.67,64.67,1.810702861,6
83,2001,44.17,44.17,1.645127399,4
84,2001,56.62,56.62,1.752969865,5
85,2001,33,33,1.51851394,3
86,2001,32.16,32.16,1.50731604,3
87,2001,34.36,34.36,1.536053155,3
88,2001,27.91,27.91,1.445759836,2
89,2001,52.16,52.16,1.717337583,5
90,2001,32.48,32.48,1.511616021,3
91,2001,54.41,54.41,1.735678726,5
92,2001,26.24,26.24,1.418963831,2
93,2001,87.64,87.64,1.942702369,8
94,2001,38,38,1.579783597,3
95,2001,61.66,61.66,1.79000352,6
96,2001,49.63,49.63,1.695744275,4
97,2001,82,82,1.913813852,8
98,2001,139.43,139.43,2.144356227,1
99,2001,43.77,43.77,1.641176547,4
100,2001,30.3,30.3,1.481442629,3
101,2001,29.69,29.69,1.472610198,2
102,2001,41.52,41.52,1.618257345,4
103,2001,99.66,99.66,1.998520883,9
104,2001,113.34,113.34,2.054383208,1
105,2001,166.68,166.68,2.221883492,1
106,2001,67.71,67.71,1.830652814,6
107,2001,57.76,57.76,1.761627185,5
108,2001,117.22,117.22,2.069001717,1
109,2001,27.26,27.26,1.435525851,2
110,2001,25.51,25.51,1.406710459,2
111,2001,49.07,49.07,1.690816058,4
112,2001,63.63,63.63,1.803661923,6
113,2001,50.8,50.8,1.705863712,5
114,2001,83.67,83.67,1.922569769,8
115,2001,38.45,38.45,1.584896344,3
116,2001,40.53,40.53,1.607776604,4
117,2001,42.57,42.57,1.62910365,4
118,2001,47.48,47.48,1.67651071,4
119,2001,32.25,32.25,1.508529719,3
120,2001,53.52,53.52,1.728516105,5
121,2001,40.06,40.06,1.602710945,4
122,2001,36.3,36.3,1.559906625,3
123,2001,82.79,82.79,1.917977883,8
124,2001,66.59,66.59,1.823409015,6
125,2001,28.59,28.59,1.456214155,2
126,2001,65.3,65.3,1.814913181,6
127,2001,133.53,133.53,2.125578849,1
128,2001,49.7,49.7,1.696356389,4
129,2001,127.47,127.47,2.105407986,1
130,2001,49.27,49.27,1.692582562,4
131,2001,114.78,114.78,2.05986622,1
132,2001,41.67,41.67,1.6198235,4
133,2001,126.3,126.3,2.101403351,1
134,2001,31.72,31.72,1.501333179,3
135,2001,102.16,102.16,2.009280884,1
136,2001,40.94,40.94,1.612147838,4
137,2001,42.56,42.56,1.629001619,4
138,2001,25.18,25.18,1.401055726,2
139,2001,46.85,46.85,1.670709595,4
140,2001,29.1,29.1,1.463892989,2
141,2001,34.12,34.12,1.533009022,3
142,2001,25.55,25.55,1.407390904,2
143,2001,56.31,56.31,1.750585527,5
144,2001,66.1,66.1,1.820201459,6
145,2001,76.9,76.9,1.88592634,7
146,2001,32.9,32.9,1.517195898,3
147,2001,426.46,426.46,2.629878303,4
148,2001,95.53,95.53,1.980139778,9
149,2001,50.49,50.49,1.703205371,5
150,2001,53.64,53.64,1.729488769,5
151,2001,50.45,50.45,1.702861171,5
152,2001,30.18,30.18,1.479719235,3
153,2001,47.42,47.42,1.67596155,4
154,2001,43.25,43.25,1.635986112,4
155,2001,64.14,64.14,1.807128956,6
